stop_id;stop_name;stop_coordinates;Accesibilidad
BN;La Bonanova;41.39781569, 2.136433966;0
TT;Les Tres Torres;41.39780042, 2.130811822;0
PM;Pl. Molina;41.4016938, 2.146754722;0
VD;Valldoreix;41.45784156, 2.06831203;0
SC;Sant Cugat Centre;41.46791038, 2.078203288;0
RB;Rubí Centre;41.48628798, 2.031357969;0
SQ;Sant Quirze;41.52999155, 2.088722533;0
EN;Terrassa  Estació del nord;41.5701675, 2.015487;0
NA;Terrassa Nacions Unides;41.5801339, 2.0134592;0
PE;Pl. Espanya;41.3747199, 2.148458333;0
CO;Cornellà Riera;41.35147828, 2.071263627;1
MC;Martorell Central;41.4792845, 1.925294975;0
SA;Sant Andreu de la Barca;41.44648001, 1.973673502;0
CP;Can Parellada;41.50222357, 1.830813063;0
MQ;Masquefa;41.502884, 1.812625072;0
AT;Alcoletge;41.654738, 0.686458;0
MV;Martorell Vila;41.4758714, 1.938956855;0
MB;Manresa-Baixador;41.731457, 1.827904;0
PI;Piera;41.52591339, 1.75450443;0
GB;Gerb;41.823301, 0.812079;0
SM;St. Llorenç de Montgai;41.866379, 0.832571;0
SN;Santa Linya;41.93156, 0.852312;0
LL;Cellers-Llimiana;42.058631, 0.882707;0
SD;Salàs de Pallars;42.206835, 0.940463;0
PS;La Pobla de Segur;42.239877, 0.965917;0
PJ;Sabadell Plaça Major;41.5474198, 2.1088815;0
CT;La Creu Alta;41.554954, 2.100385;1
RV;Ribes-Vila;42.308798764827, 2.1721241533237;0
PG;Polígon industrial del Segre;41.622808, 0.652806;0
PC;Pl. Catalunya;41.38563194, 2.168720219;1
MN;Muntaner;41.39852644, 2.142346041;0
PD;Pàdua;41.40351065, 2.142759094;0
EP;El Putxet;41.40582569, 2.139151477;0
TB;Av. Tibidabo;41.40964799, 2.137162791;0
VS;Vallvidrera Superior;41.414111713828, 2.1058163381683;0
LP;Les Planes;41.42740264, 2.0916176;0
FN;Les Fonts;41.52846982, 2.033582202;0
SJ;Sant Joan;41.49015388, 2.076498641;0
VP;Vallparadís Universitat;41.5633063, 2.0190489;0
MG;Magòria La Campana;41.36748768, 2.138879447;0
IC;Ildefons Cerdà;41.36090867, 2.130023266;0
SP;Sant Josep;41.36070098, 2.10991665;0
LH;L'Hospitalet Av. Carrilet;41.35793378, 2.102709519;0
BO;Sant Boi;41.34856143, 2.042855988;0
EU;Europa | Fira;41.35655892, 2.124199344;0
VH;Sant Vicenç dels Horts;41.38810839, 2.012398952;0
QC;Quatre Camins;41.40629238, 2.001715183;0
PA;Pallejà;41.42078685, 1.995677605;0
ME;Martorell Enllaç;41.48396936, 1.918677519;0
OL;Olesa de Montserrat;41.54105908, 1.888618922;0
CB;Castellbell i El Vilar;41.64051706, 1.854793522;0
SV;Sant Vicenç-Castellgalí;41.66791016, 1.8596058;0
VI;Manresa Viladordis;41.72436991, 1.83398595;0
BE;La Beguda;41.5017639, 1.838788972;0
VA;Vallbona d'Anoia;41.52025979, 1.709010719;0
CA;Capellades;41.52153533, 1.695130725;0
PO;La Pobla de Claramunt;41.55461094, 1.677906247;0
IG;Igualada;41.57802651, 1.629951133;0
MP;Monistrol-Vila;41.61562791, 1.843723316;0
AR;Àger;42.006741, 0.851596;0
GT;Guardia de Tremp;42.101399, 0.88809;0
PT;Palau de Noguera;42.147002, 0.892435;0
TP;Tremp;42.167348, 0.891057;0
VR;Vallvidrera Inferior;41.409328, 2.111263;0
QUE;Queralbs;42.351513859462, 2.1663511165341;0
PR;Provença;41.39281434, 2.158030869;0
GR;Gràcia;41.39909823, 2.152662325;0
SG;Sant Gervasi;41.40106608, 2.147133783;0
SR;Sarrià;41.39849938, 2.125574875;0
RE;Reina Elisenda;41.39874599, 2.118932325;0
PF;Peu del Funicular;41.40921616, 2.111181541;0
VL;Baixador de Vallvidrera;41.42009441, 2.096936777;0
LF;La Floresta;41.44487408, 2.073166144;0
MS;Mira-Sol;41.46936873, 2.061380927;0
HG;Hospital General;41.47620923, 2.046514894;0
TR;Terrassa - Rambla;41.55974631, 2.007525272;0
VO;Volpelleres;41.481248, 2.072928;0
BT;Bellaterra;41.50085844, 2.090556583;0
UN;Universitat Autònoma;41.50285282, 2.102510441;0
GO;Gornal;41.35488589, 2.117431558;0
AL;Almeda;41.35306747, 2.085251402;0
CG;Colònia Güell;41.36386336, 2.031859416;0
ML;Molí Nou - Ciutat Cooperativa;41.35751473, 2.035276936;0
CL;Santa Coloma de Cervelló;41.37064766, 2.023520241;0
CR;Can Ros;41.39882061, 2.005346458;0
PL;El Palau;41.45588074, 1.9622947;0
AB;Abrera;41.52256137, 1.906805399;0
AE;Montserrat-Aeri;41.59119812, 1.853361605;0
MO;Monistrol de Montserrat;41.6103596, 1.84919403;0
MA;Manresa-Alta;41.73224, 1.832986;0
SE;Sant Esteve Sesrovires;41.49767605, 1.8724438;0
VN;Vilanova del Camí;41.57331472, 1.642009216;0
MM;Montserrat;41.59225373, 1.836497527;0
LE;Lleida;41.620098, 0.633672;0
VB;Vilanova de la Barca;41.687347, 0.727903;0
RM;Térmens;41.717644, 0.764899;0
VF;Vallfogona de Balaguer;41.755094, 0.805247;0
BG;Balaguer;41.789215, 0.814761;0
LS;Vilanova de la Sal;41.91207, 0.830401;0
CF;Can Feu - Gràcia;41.542522966, 2.100463866;0
NO;Sabadell Nord;41.561225, 2.096657;1
PN;Sabadell Parc del Nord;41.571291, 2.089499;1
NU;Nuria;42.397328515116, 2.1547279163581;0
RR;Ribes-Enllaç;42.30040204821, 2.1663747137233;0
